Cost is: 0.0 | 0 to 1
Cost is: 6195.614483080665 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 39 to 78 to 79 to 158 to 159 to 318 to 636 to 637
Cost is: 5888.372327091233 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 39 to 78 to 79 to 158 to 159 to 318 to 319 to 638
Cost is: 6526.372327091233 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 39 to 78 to 79 to 158 to 159 to 318 to 319 to 638 to 639
Cost is: 5328.424340253475 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 80 to 160 to 320 to 640
Cost is: 5968.424340253475 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 80 to 160 to 320 to 640 to 641
Cost is: 5659.191215255778 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 80 to 160 to 320 to 321 to 642
Cost is: 6301.191215255778 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 80 to 160 to 320 to 321 to 642 to 643
Cost is: 5519.731706836901 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 80 to 160 to 161 to 322 to 644
Cost is: 6163.731706836901 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 80 to 160 to 161 to 322 to 644 to 645
Cost is: 5852.507556650133 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 80 to 160 to 161 to 322 to 323 to 646
Cost is: 6498.507556650133 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 80 to 160 to 161 to 322 to 323 to 646 to 647
Cost is: 5479.8395587521345 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 80 to 81 to 162 to 324 to 648
Cost is: 6127.8395587521345 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 80 to 81 to 162 to 324 to 648 to 649
Cost is: 5814.624327890157 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 80 to 81 to 162 to 324 to 325 to 650
Cost is: 6464.624327890157 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 80 to 81 to 162 to 324 to 325 to 650 to 651
Cost is: 5673.200524769203 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 80 to 81 to 162 to 163 to 326 to 652
Cost is: 6325.200524769203 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 80 to 81 to 162 to 163 to 326 to 652 to 653
Cost is: 6009.994158427746 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 80 to 81 to 162 to 163 to 326 to 327 to 654
Cost is: 6663.994158427746 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 80 to 81 to 162 to 163 to 326 to 327 to 654 to 655
Cost is: 5519.161966161179 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 41 to 82 to 164 to 328 to 656
Cost is: 6175.161966161179 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 41 to 82 to 164 to 328 to 656 to 657
Cost is: 5857.964410205343 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 41 to 82 to 164 to 328 to 329 to 658
Cost is: 6515.964410205343 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 41 to 82 to 164 to 328 to 329 to 658 to 659
Cost is: 5714.575875940762 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 41 to 82 to 164 to 165 to 330 to 660
Cost is: 6374.575875940762 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 41 to 82 to 164 to 165 to 330 to 660 to 661
Cost is: 6055.387076892831 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 41 to 82 to 164 to 165 to 330 to 331 to 662
Cost is: 6717.387076892831 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 41 to 82 to 164 to 165 to 330 to 331 to 662 to 663
Cost is: 5672.825025122962 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 41 to 82 to 83 to 166 to 332 to 664
Cost is: 6336.825025122962 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 41 to 82 to 83 to 166 to 332 to 664 to 665
Cost is: 6015.6449301505145 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 41 to 82 to 83 to 166 to 332 to 333 to 666
Cost is: 6681.6449301505145 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 41 to 82 to 83 to 166 to 332 to 333 to 666 to 667
Cost is: 5870.291238841694 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 41 to 82 to 83 to 166 to 167 to 334 to 668
Cost is: 6538.291238841694 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 41 to 82 to 83 to 166 to 167 to 334 to 668 to 669
Cost is: 6215.119795745981 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 41 to 82 to 83 to 166 to 167 to 334 to 335 to 670
Cost is: 6885.119795745981 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 41 to 82 to 83 to 166 to 167 to 334 to 335 to 670 to 671
Cost is: 5657.227563652284 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 84 to 168 to 336 to 672
Cost is: 6329.227563652284 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 84 to 168 to 336 to 672 to 673
Cost is: 6004.064720856906 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 84 to 168 to 336 to 337 to 674
Cost is: 6678.064720856906 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 84 to 168 to 336 to 337 to 674 to 675
Cost is: 5856.745456766856 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 84 to 168 to 169 to 338 to 676
Cost is: 6532.745456766856 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 84 to 168 to 169 to 338 to 676 to 677
Cost is: 6205.591163306698 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 84 to 168 to 169 to 338 to 339 to 678
Cost is: 6883.591163306698 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 84 to 168 to 169 to 338 to 339 to 678 to 679
Cost is: 5813.132526060305 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 84 to 85 to 170 to 340 to 680
Cost is: 6493.132526060305 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 84 to 85 to 170 to 340 to 680 to 681
Cost is: 6163.986731570729 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 84 to 85 to 170 to 340 to 341 to 682
Cost is: 6845.986731570729 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 84 to 85 to 170 to 340 to 341 to 682 to 683
Cost is: 6014.701488766543 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 84 to 85 to 170 to 171 to 342 to 684
Cost is: 6698.701488766543 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 84 to 85 to 170 to 171 to 342 to 684 to 685
Cost is: 6367.56414347284 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 84 to 85 to 170 to 171 to 342 to 343 to 686
Cost is: 7053.56414347284 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 84 to 85 to 170 to 171 to 342 to 343 to 686 to 687
Cost is: 5851.008354084517 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 43 to 86 to 172 to 344 to 688
Cost is: 6539.008354084517 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 43 to 86 to 172 to 344 to 688 to 689
Cost is: 6205.879408791604 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 43 to 86 to 172 to 344 to 345 to 690
Cost is: 6895.879408791604 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 43 to 86 to 172 to 344 to 345 to 690 to 691
Cost is: 6054.6277908016955 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 43 to 86 to 172 to 173 to 346 to 692
Cost is: 6746.6277908016955 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 43 to 86 to 172 to 173 to 346 to 692 to 693
Cost is: 6411.507196884045 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 43 to 86 to 172 to 173 to 346 to 347 to 694
Cost is: 7105.507196884045 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 43 to 86 to 172 to 173 to 346 to 347 to 694 to 695
Cost is: 6009.149560725731 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 43 to 86 to 87 to 174 to 348 to 696
Cost is: 6705.149560725731 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 43 to 86 to 87 to 174 to 348 to 696 to 697
Cost is: 6368.037270117542 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 43 to 86 to 87 to 174 to 348 to 349 to 698
Cost is: 7066.037270117542 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 43 to 86 to 87 to 174 to 348 to 349 to 698 to 699
Cost is: 6214.818889604667 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 43 to 86 to 87 to 174 to 175 to 350 to 700
Cost is: 6914.818889604667 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 43 to 86 to 87 to 174 to 175 to 350 to 700 to 701
Cost is: 6575.7148547902525 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 43 to 86 to 87 to 174 to 175 to 350 to 351 to 702
Cost is: 7277.7148547902525 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 43 to 86 to 87 to 174 to 175 to 350 to 351 to 702 to 703
Cost is: 5963.995752190083 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 88 to 176 to 352 to 704
Cost is: 6667.995752190083 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 88 to 176 to 352 to 704 to 705
Cost is: 6326.899926194482 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 88 to 176 to 352 to 353 to 706
Cost is: 7032.899926194482 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 88 to 176 to 352 to 353 to 706 to 707
Cost is: 6171.714404643662 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 88 to 176 to 177 to 354 to 708
Cost is: 6879.714404643662 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 88 to 176 to 177 to 354 to 708 to 709
Cost is: 6536.626741023458 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 88 to 176 to 177 to 354 to 355 to 710
Cost is: 7246.626741023458 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 88 to 176 to 177 to 354 to 355 to 710 to 711
Cost is: 6124.367802601575 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 88 to 89 to 178 to 356 to 712
Cost is: 6836.367802601575 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 88 to 89 to 178 to 356 to 712 to 713
Cost is: 6491.288255435926 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 88 to 89 to 178 to 356 to 357 to 714
Cost is: 7205.288255435926 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 88 to 89 to 178 to 356 to 357 to 714 to 715
Cost is: 6334.135222856424 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 88 to 89 to 178 to 179 to 358 to 716
Cost is: 7050.135222856424 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 88 to 89 to 178 to 179 to 358 to 716 to 717
Cost is: 6703.063746738295 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 88 to 89 to 178 to 179 to 358 to 359 to 718
Cost is: 7421.063746738295 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 88 to 89 to 178 to 179 to 358 to 359 to 718 to 719
Cost is: 6160.771723911998 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 45 to 90 to 180 to 360 to 720
Cost is: 6880.771723911998 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 45 to 90 to 180 to 360 to 720 to 721
Cost is: 6531.708273939584 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 45 to 90 to 180 to 360 to 361 to 722
Cost is: 7253.708273939584 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 45 to 90 to 180 to 360 to 361 to 722 to 723
Cost is: 6372.587368580154 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 45 to 90 to 180 to 181 to 362 to 724
Cost is: 7096.587368580154 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 45 to 90 to 180 to 181 to 362 to 724 to 725
Cost is: 6745.531900348492 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 45 to 90 to 180 to 181 to 362 to 363 to 726
Cost is: 7471.531900348492 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 45 to 90 to 180 to 181 to 362 to 363 to 726 to 727
Cost is: 6323.369459030872 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 45 to 90 to 91 to 182 to 364 to 728
Cost is: 7051.369459030872 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 45 to 90 to 91 to 182 to 364 to 728 to 729
Cost is: 6698.32192862364 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 45 to 90 to 91 to 182 to 364 to 365 to 730
Cost is: 7428.32192862364 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 45 to 90 to 91 to 182 to 364 to 365 to 730 to 731
Cost is: 6537.232796700324 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 45 to 90 to 91 to 182 to 183 to 366 to 732
Cost is: 7269.232796700324 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 45 to 90 to 91 to 182 to 183 to 366 to 732 to 733
Cost is: 6914.193160681823 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 45 to 90 to 91 to 182 to 183 to 366 to 367 to 734
Cost is: 7648.193160681823 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 45 to 90 to 91 to 182 to 183 to 366 to 367 to 734 to 735
Cost is: 6298.963062948098 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 92 to 184 to 368 to 736
Cost is: 7034.963062948098 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 92 to 184 to 368 to 736 to 737
Cost is: 6677.931278355402 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 92 to 184 to 368 to 369 to 738
Cost is: 7415.931278355402 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 92 to 184 to 368 to 369 to 738 to 739
Cost is: 6514.873573791179 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 92 to 184 to 185 to 370 to 740
Cost is: 7254.873573791179 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 92 to 184 to 185 to 370 to 740 to 741
Cost is: 6895.849598126461 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 92 to 184 to 185 to 370 to 371 to 742
Cost is: 7637.849598126461 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 92 to 184 to 185 to 370 to 371 to 742 to 743
Cost is: 6463.7815492787095 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 92 to 93 to 186 to 372 to 744
Cost is: 7207.7815492787095 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 92 to 93 to 186 to 372 to 744 to 745
Cost is: 6846.765340501726 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 92 to 93 to 186 to 372 to 373 to 746
Cost is: 7592.765340501726 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 92 to 93 to 186 to 372 to 373 to 746 to 747
Cost is: 6681.738724677392 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 92 to 93 to 186 to 187 to 374 to 748
Cost is: 7429.738724677392 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 92 to 93 to 186 to 187 to 374 to 748 to 749
Cost is: 7066.730241198133 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 92 to 93 to 186 to 187 to 374 to 375 to 750
Cost is: 7816.730241198133 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 92 to 93 to 186 to 187 to 374 to 375 to 750 to 751
Cost is: 6498.6904537014925 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 47 to 94 to 188 to 376 to 752
Cost is: 7250.6904537014925 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 47 to 94 to 188 to 376 to 752 to 753
Cost is: 6885.689654372987 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 47 to 94 to 188 to 376 to 377 to 754
Cost is: 7639.689654372987 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 47 to 94 to 188 to 376 to 377 to 754 to 755
Cost is: 6718.693795888654 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 47 to 94 to 188 to 189 to 378 to 756
Cost is: 7474.693795888654 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 47 to 94 to 188 to 189 to 378 to 756 to 757
Cost is: 7107.700639999932 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 47 to 94 to 188 to 189 to 378 to 379 to 758
Cost is: 7865.700639999932 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 47 to 94 to 188 to 189 to 378 to 379 to 758 to 759
Cost is: 6665.724968837688 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 47 to 94 to 95 to 190 to 380 to 760
Cost is: 7425.724968837688 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 47 to 94 to 95 to 190 to 380 to 760 to 761
Cost is: 7056.739416106883 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 47 to 94 to 95 to 190 to 380 to 381 to 762
Cost is: 7818.739416106883 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 47 to 94 to 95 to 190 to 380 to 381 to 762 to 763
Cost is: 6887.773990553532 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 47 to 94 to 95 to 190 to 191 to 382 to 764
Cost is: 7651.773990553532 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 47 to 94 to 95 to 190 to 191 to 382 to 764 to 765
Cost is: 7280.796001121134 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 47 to 94 to 95 to 190 to 191 to 382 to 383 to 766
Cost is: 8046.796001121134 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 47 to 94 to 95 to 190 to 191 to 382 to 383 to 766 to 767
Cost is: 6594.496313051684 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 96 to 192 to 384 to 768
Cost is: 7362.496313051684 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 96 to 192 to 384 to 768 to 769
Cost is: 6989.525847473933 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 96 to 192 to 384 to 385 to 770
Cost is: 7759.525847473933 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 96 to 192 to 384 to 385 to 770 to 771
Cost is: 6818.590537214517 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 96 to 192 to 193 to 386 to 772
Cost is: 7590.590537214517 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 96 to 192 to 193 to 386 to 772 to 773
Cost is: 7215.627556456924 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 96 to 192 to 193 to 386 to 387 to 774
Cost is: 7989.627556456924 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 96 to 192 to 193 to 386 to 387 to 774 to 775
Cost is: 6763.742332412128 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 96 to 97 to 194 to 388 to 776
Cost is: 7539.742332412128 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 96 to 97 to 194 to 388 to 776 to 777
Cost is: 7162.7867978431495 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 96 to 97 to 194 to 388 to 389 to 778
Cost is: 7940.7867978431495 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 96 to 97 to 194 to 388 to 389 to 778 to 779
Cost is: 6989.8812918027415 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 96 to 97 to 194 to 195 to 390 to 780
Cost is: 7769.8812918027415 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 96 to 97 to 194 to 195 to 390 to 780 to 781
Cost is: 7390.933165187568 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 96 to 97 to 194 to 195 to 390 to 391 to 782
Cost is: 8172.933165187568 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 96 to 97 to 194 to 195 to 390 to 391 to 782 to 783
Cost is: 6797.13504795713 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 49 to 98 to 196 to 392 to 784
Cost is: 7581.13504795713 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 49 to 98 to 196 to 392 to 784 to 785
Cost is: 7200.1942914516 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 49 to 98 to 196 to 392 to 393 to 786
Cost is: 7986.1942914516 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 49 to 98 to 196 to 392 to 393 to 786 to 787
Cost is: 7025.318284916107 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 49 to 98 to 196 to 197 to 394 to 788
Cost is: 7813.318284916107 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 49 to 98 to 196 to 197 to 394 to 788 to 789
Cost is: 7430.384861060758 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 49 to 98 to 196 to 197 to 394 to 395 to 790
Cost is: 8220.384861060758 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 49 to 98 to 196 to 197 to 394 to 395 to 790 to 791
Cost is: 6968.588232609267 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 49 to 98 to 99 to 198 to 396 to 792
Cost is: 7760.588232609267 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 49 to 98 to 99 to 198 to 396 to 792 to 793
Cost is: 7375.662104323496 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 49 to 98 to 99 to 198 to 396 to 397 to 794
Cost is: 8169.662104323496 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 49 to 98 to 99 to 198 to 396 to 397 to 794 to 795
Cost is: 7198.815298746537 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 49 to 98 to 99 to 198 to 199 to 398 to 796
Cost is: 7994.815298746537 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 49 to 98 to 99 to 198 to 199 to 398 to 796 to 797
Cost is: 7607.896429322882 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 49 to 98 to 99 to 198 to 199 to 398 to 399 to 798
Cost is: 8405.896429322882 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 49 to 98 to 99 to 198 to 199 to 398 to 399 to 798 to 799
Cost is: 6935.272759590556 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 100 to 200 to 400 to 800
Cost is: 7735.272759590556 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 100 to 200 to 400 to 800 to 801
Cost is: 7346.361112689089 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 100 to 200 to 400 to 401 to 802
Cost is: 8148.361112689089 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 100 to 200 to 400 to 401 to 802 to 803
Cost is: 7167.5432155066155 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 100 to 200 to 201 to 402 to 804
Cost is: 7971.5432155066155 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 100 to 200 to 201 to 402 to 804 to 805
Cost is: 7580.638755149457 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 100 to 200 to 201 to 402 to 403 to 806
Cost is: 8386.638755149457 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 100 to 200 to 201 to 402 to 403 to 806 to 807
Cost is: 7108.928945053767 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 100 to 101 to 202 to 404 to 808
Cost is: 7916.928945053767 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 100 to 101 to 202 to 404 to 808 to 809
Cost is: 7524.031635619696 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 100 to 101 to 202 to 404 to 405 to 810
Cost is: 8334.031635619696 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 100 to 101 to 202 to 404 to 405 to 810 to 811
Cost is: 7343.242360071952 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 100 to 101 to 202 to 203 to 406 to 812
Cost is: 8155.242360071952 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 100 to 101 to 202 to 203 to 406 to 812 to 813
Cost is: 7760.3521662911335 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 100 to 101 to 202 to 203 to 406 to 407 to 814
Cost is: 8574.352166291133 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 100 to 101 to 202 to 203 to 406 to 407 to 814 to 815
Cost is: 7140.786003867706 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 51 to 102 to 204 to 408 to 816
Cost is: 7956.786003867706 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 51 to 102 to 204 to 408 to 816 to 817
Cost is: 7559.902890816512 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 51 to 102 to 204 to 408 to 409 to 818
Cost is: 8377.902890816513 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 51 to 102 to 204 to 408 to 409 to 818 to 819
Cost is: 7377.141955777001 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 51 to 102 to 204 to 205 to 410 to 820
Cost is: 8197.141955777002 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 51 to 102 to 204 to 205 to 410 to 820 to 821
